student_id,class_id,attendance_rate,participation_rate,correctness_rate,semantic_score,engagement_score,consistency_score,response_time,recent_activity_count,xp,level,badges_count,streak,weak_concepts_count,risk_label
stu_00036,class_028,72.52,100.0,83.24,86.41,76.36,67.23,20.24,9.0,1975.0,8.0,4.0,18.0,0.0,low
stu_00037,class_004,51.47,,29.15,33.82,42.6,52.58,36.33,1.0,726.0,3.0,1.0,0.0,5.0,high
stu_00038,class_013,91.46,65.14,73.6,87.57,76.8,71.33,26.16,8.0,1541.0,7.0,3.0,10.0,0.0,low
stu_00039,class_013,93.75,74.64,79.97,78.84,79.64,54.17,22.84,6.0,1594.0,7.0,3.0,6.0,1.0,low
stu_00040,class_004,72.43,86.77,76.44,75.29,74.17,,19.74,8.0,1764.0,8.0,3.0,10.0,1.0,low
stu_00041,class_014,88.84,75.08,89.48,85.69,86.08,78.38,67.16,5.0,1614.0,7.0,4.0,9.0,0.0,low
stu_00042,class_001,84.33,66.25,89.32,87.48,81.8,80.94,42.94,7.0,1447.0,6.0,5.0,15.0,0.0,low
stu_00043,class_033,84.4,74.87,,69.3,78.54,81.89,30.68,12.0,1658.0,7.0,4.0,10.0,0.0,low
stu_00044,class_007,60.66,65.03,51.93,52.45,55.21,69.72,83.28,2.0,1120.0,5.0,1.0,2.0,2.0,medium
stu_00045,class_027,37.41,70.76,69.23,73.14,52.9,67.54,25.81,3.0,1241.0,5.0,2.0,4.0,1.0,medium
stu_00046,class_025,88.9,85.96,91.23,81.64,92.68,74.0,20.21,18.0,2004.0,9.0,5.0,17.0,1.0,low
stu_00047,class_028,93.02,92.38,93.62,94.73,92.94,75.72,14.93,16.0,2316.0,10.0,5.0,23.0,0.0,low
stu_00048,class_022,61.45,34.96,77.06,84.89,56.87,27.2,36.59,8.0,892.0,4.0,1.0,8.0,1.0,medium
stu_00049,class_010,87.1,81.5,79.45,88.17,83.34,87.66,23.34,11.0,1905.0,8.0,3.0,13.0,0.0,low
stu_00050,class_032,98.32,81.27,68.77,68.31,79.44,54.91,30.24,0.0,1905.0,8.0,4.0,0.0,0.0,low
stu_00051,class_027,81.55,100.0,55.9,59.49,76.99,56.6,37.93,3.0,1751.0,8.0,,1.0,0.0,medium
stu_00052,class_031,57.12,50.25,61.77,81.55,57.86,29.77,26.63,8.0,1026.0,5.0,1.0,10.0,2.0,medium
stu_00053,class_031,40.36,34.33,88.54,82.47,56.12,82.97,21.52,9.0,1417.0,6.0,4.0,7.0,0.0,low
stu_00054,class_013,76.38,57.68,57.14,56.57,67.68,88.39,70.89,8.0,1046.0,5.0,1.0,12.0,0.0,medium
stu_00055,class_040,59.81,43.82,68.46,66.45,53.89,33.87,26.79,6.0,832.0,4.0,1.0,4.0,1.0,medium
stu_00056,class_018,40.17,65.4,88.6,85.04,61.82,46.59,65.73,8.0,1545.0,7.0,4.0,7.0,1.0,medium
stu_00057,class_033,42.18,60.49,100.0,100.0,65.44,64.13,66.76,1.0,1190.0,5.0,2.0,1.0,3.0,medium
stu_00058,class_002,52.95,60.93,42.64,46.57,49.91,53.99,24.5,2.0,1256.0,6.0,1.0,0.0,3.0,high
stu_00059,class_039,100.0,96.88,90.33,94.29,89.42,72.63,29.25,12.0,1930.0,8.0,4.0,8.0,1.0,low
stu_00060,class_038,100.0,13.75,64.86,56.23,60.84,41.77,33.68,5.0,467.0,2.0,1.0,6.0,3.0,medium
stu_00061,class_024,78.66,92.83,32.59,37.04,69.4,54.64,78.31,10.0,2025.0,9.0,3.0,12.0,3.0,medium
stu_00062,class_025,92.26,84.76,81.26,83.38,79.89,41.35,,0.0,1964.0,8.0,5.0,0.0,0.0,low
stu_00063,class_001,83.52,91.12,81.92,78.35,85.45,84.03,17.47,17.0,2181.0,9.0,5.0,,0.0,low
stu_00064,class_008,57.55,71.27,48.55,60.61,55.6,25.51,31.06,7.0,1649.0,7.0,3.0,14.0,3.0,medium
stu_00065,class_025,50.26,58.42,50.85,48.86,49.81,10.9,29.4,0.0,1206.0,5.0,1.0,0.0,2.0,medium
stu_00066,class_019,100.0,75.65,75.6,73.72,83.25,77.32,20.89,6.0,1464.0,6.0,3.0,6.0,2.0,low
stu_00067,class_020,44.3,43.15,69.59,78.86,51.45,61.31,38.3,5.0,889.0,4.0,1.0,0.0,4.0,medium
stu_00068,class_032,76.25,81.51,84.07,94.87,69.9,39.51,36.33,0.0,1535.0,7.0,3.0,0.0,0.0,low
stu_00069,class_029,100.0,79.1,81.32,88.1,84.92,74.41,28.69,12.0,1703.0,7.0,4.0,24.0,0.0,low
stu_00070,class_038,29.02,39.13,,75.22,46.07,32.04,55.29,1.0,644.0,3.0,0.0,0.0,6.0,high
stu_00071,class_038,47.0,24.67,78.99,89.49,49.03,37.93,129.07,1.0,526.0,3.0,0.0,2.0,1.0,high
stu_00072,class_004,80.74,90.03,61.54,,76.1,86.39,37.5,12.0,2041.0,9.0,5.0,10.0,0.0,low
stu_00073,class_008,100.0,52.25,39.44,41.49,60.88,24.4,59.44,1.0,14.0,1.0,0.0,0.0,7.0,high
stu_00074,class_007,87.14,83.83,93.36,89.54,86.17,95.41,10.86,8.0,1905.0,8.0,5.0,9.0,0.0,low
stu_00075,class_020,91.78,92.87,87.98,87.45,87.74,73.67,24.07,16.0,1991.0,8.0,5.0,25.0,0.0,low
stu_00076,class_027,100.0,85.3,85.53,71.55,89.72,97.64,38.4,12.0,1689.0,7.0,4.0,12.0,0.0,low
stu_00077,class_005,28.44,20.4,37.05,31.23,29.48,11.88,82.32,4.0,408.0,2.0,0.0,5.0,1.0,high
stu_00078,class_035,76.31,73.57,76.1,93.53,70.33,67.53,43.25,1.0,1309.0,6.0,3.0,1.0,2.0,medium
stu_00079,class_006,35.54,49.46,82.29,75.64,51.27,42.82,30.87,1.0,722.0,3.0,2.0,2.0,4.0,medium
stu_00080,class_004,43.27,76.77,79.38,85.56,64.63,57.34,75.45,7.0,1675.0,7.0,3.0,12.0,0.0,medium
stu_00081,class_016,100.0,17.53,71.74,67.66,67.4,68.19,43.85,2.0,160.0,1.0,1.0,1.0,3.0,medium
stu_00082,class_015,65.21,70.69,29.68,28.72,50.37,6.66,88.67,3.0,1347.0,6.0,3.0,5.0,2.0,high
stu_00083,class_011,45.56,65.65,56.39,48.72,48.12,25.9,65.45,1.0,1567.0,7.0,3.0,0.0,5.0,medium
stu_00084,class_018,62.36,55.19,51.25,55.92,59.77,79.79,62.33,5.0,1159.0,5.0,2.0,8.0,2.0,medium
stu_00085,class_027,53.14,78.84,65.78,66.2,69.28,98.89,39.75,5.0,1556.0,7.0,2.0,4.0,2.0,medium
stu_00086,class_015,87.87,91.26,80.84,99.75,79.83,60.7,25.14,17.0,2157.0,9.0,5.0,24.0,0.0,low
stu_00087,class_037,74.2,56.16,41.96,41.42,60.75,99.29,14.13,4.0,1105.0,5.0,1.0,4.0,1.0,medium
stu_00088,class_028,69.97,75.92,68.84,76.57,76.01,71.24,52.34,9.0,1595.0,7.0,2.0,19.0,4.0,medium
stu_00089,class_038,83.5,94.15,87.8,94.29,90.13,85.72,31.47,17.0,2178.0,9.0,6.0,23.0,0.0,low
stu_00090,class_010,79.41,85.76,89.69,99.17,78.26,72.84,20.15,10.0,1758.0,8.0,3.0,18.0,0.0,low
stu_00091,class_005,25.57,69.51,51.97,72.03,37.98,15.53,35.67,2.0,1298.0,6.0,1.0,4.0,1.0,medium
stu_00092,class_014,,80.96,89.7,98.24,86.98,88.84,26.89,8.0,1583.0,7.0,4.0,13.0,1.0,low
stu_00093,class_031,88.6,71.49,77.57,89.48,76.66,90.75,21.38,6.0,1723.0,7.0,4.0,3.0,0.0,low
stu_00094,class_002,79.7,82.7,82.2,77.15,84.1,77.23,20.56,12.0,1617.0,7.0,4.0,18.0,0.0,low
stu_00095,class_008,40.27,60.59,42.54,46.38,40.84,28.3,95.43,0.0,1116.0,5.0,1.0,0.0,1.0,high
stu_00096,class_019,51.46,0.92,42.11,43.46,35.04,12.54,30.89,5.0,43.0,1.0,0.0,6.0,4.0,high
stu_00097,class_022,94.99,54.07,88.53,94.8,83.36,84.12,44.83,18.0,1352.0,6.0,5.0,31.0,1.0,low
stu_00098,class_001,77.76,49.0,67.84,74.79,60.45,21.97,13.66,0.0,904.0,4.0,1.0,0.0,2.0,medium
stu_00099,class_022,79.34,100.0,75.96,71.5,81.75,75.62,11.5,7.0,2054.0,9.0,3.0,9.0,0.0,low
stu_00100,class_040,42.17,50.37,51.11,65.04,41.77,47.99,30.56,4.0,844.0,4.0,1.0,3.0,1.0,medium
stu_00101,class_028,34.88,49.01,59.98,59.04,48.8,38.72,49.25,7.0,1222.0,5.0,1.0,14.0,1.0,medium
stu_00102,class_037,86.93,86.66,52.84,58.2,77.11,74.4,21.78,9.0,1650.0,7.0,3.0,11.0,5.0,medium
stu_00103,class_038,67.77,27.54,75.91,83.53,56.39,79.07,14.03,1.0,413.0,2.0,0.0,0.0,2.0,medium
stu_00104,class_002,98.93,96.32,66.07,57.41,81.06,26.34,18.72,0.0,1843.0,8.0,3.0,0.0,1.0,low
stu_00105,class_010,83.42,89.21,91.06,96.42,93.13,100.0,22.42,7.0,1657.0,7.0,5.0,13.0,0.0,low
stu_00106,class_012,56.05,48.3,74.43,75.09,60.99,73.42,44.44,6.0,1106.0,5.0,1.0,3.0,3.0,medium
stu_00107,class_037,82.71,36.73,76.42,74.21,63.69,42.51,35.58,7.0,919.0,4.0,2.0,,0.0,medium
stu_00108,class_021,36.26,39.49,38.9,36.68,35.23,28.29,24.81,0.0,787.0,4.0,1.0,0.0,3.0,high
stu_00109,class_007,94.07,68.49,45.83,58.2,68.74,62.51,32.51,4.0,1617.0,7.0,3.0,8.0,3.0,medium
stu_00110,class_040,63.54,26.63,59.62,54.5,50.08,46.8,26.71,6.0,680.0,3.0,1.0,6.0,0.0,medium
stu_00111,class_016,82.8,74.93,95.41,100.0,84.9,70.7,24.07,5.0,1535.0,7.0,4.0,6.0,0.0,low
stu_00112,class_003,25.76,40.43,87.89,81.47,54.41,79.61,22.3,16.0,1774.0,8.0,4.0,26.0,2.0,low
stu_00113,class_025,19.74,24.03,5.24,0.0,17.12,9.46,61.84,2.0,393.0,2.0,0.0,5.0,2.0,high
stu_00114,class_026,99.5,48.91,96.43,94.3,86.8,100.0,19.85,13.0,1330.0,6.0,4.0,25.0,0.0,low
stu_00115,class_015,90.77,87.72,81.6,78.69,85.68,88.49,24.03,5.0,1817.0,8.0,5.0,4.0,0.0,low
stu_00116,class_012,88.03,85.85,79.69,83.22,76.0,63.36,22.02,7.0,1768.0,8.0,,8.0,1.0,low
stu_00117,class_033,30.92,45.88,66.57,74.21,51.69,53.06,49.1,10.0,1090.0,5.0,1.0,15.0,1.0,medium
stu_00118,class_024,88.26,65.31,87.67,82.29,82.6,80.32,18.7,10.0,1308.0,6.0,4.0,7.0,0.0,low
stu_00119,class_034,78.1,75.08,61.23,67.9,71.01,18.68,31.8,9.0,1734.0,7.0,2.0,15.0,2.0,medium
stu_00120,class_029,80.17,90.12,69.62,76.58,86.5,95.83,27.49,10.0,2041.0,9.0,5.0,18.0,0.0,low
stu_00121,class_037,76.55,51.68,36.0,59.48,57.75,58.35,37.73,10.0,3308.0,13.0,7.0,25.0,4.0,medium
stu_00122,class_020,53.86,46.84,44.79,51.53,52.22,51.7,38.72,9.0,1107.0,5.0,2.0,11.0,3.0,medium
stu_00123,class_010,68.1,74.89,64.7,59.05,67.53,64.31,29.13,3.0,,7.0,2.0,1.0,0.0,medium
stu_00124,class_031,41.84,57.33,36.73,44.65,45.34,62.12,25.69,0.0,1111.0,5.0,2.0,0.0,3.0,high
stu_00125,class_019,67.73,85.99,100.0,100.0,83.62,94.79,21.95,16.0,2044.0,9.0,4.0,14.0,0.0,low
stu_00126,class_021,30.59,32.66,75.51,82.81,48.57,74.91,32.92,7.0,709.0,3.0,1.0,14.0,3.0,medium
stu_00127,class_001,79.42,85.72,66.31,65.09,79.76,87.45,17.08,16.0,2050.0,9.0,4.0,26.0,1.0,low
stu_00128,class_023,90.61,89.58,92.95,81.11,97.04,88.78,21.16,18.0,2048.0,9.0,5.0,21.0,1.0,low
stu_00129,class_001,43.94,47.75,66.07,66.43,55.61,65.54,51.4,8.0,1134.0,5.0,2.0,9.0,3.0,medium
stu_00130,class_012,66.14,54.7,66.1,64.88,60.3,45.79,27.38,1.0,1093.0,5.0,2.0,0.0,1.0,medium
stu_00131,class_027,5.17,37.41,49.35,59.41,32.53,43.7,42.99,4.0,809.0,4.0,1.0,9.0,3.0,high
stu_00132,class_034,86.91,87.69,90.02,98.15,91.49,76.96,39.11,6.0,1837.0,8.0,5.0,6.0,0.0,low
stu_00133,class_012,63.31,76.04,79.41,78.68,64.04,56.52,70.92,6.0,1665.0,7.0,3.0,6.0,3.0,medium
stu_00134,class_034,80.82,100.0,80.62,88.21,84.8,92.03,37.47,6.0,1889.0,8.0,5.0,5.0,1.0,low
stu_00135,class_026,18.65,46.32,77.6,79.31,51.38,86.96,22.82,13.0,2150.0,9.0,4.0,12.0,0.0,low
stu_00136,class_017,91.75,88.38,94.12,85.16,99.11,90.15,17.53,12.0,1882.0,8.0,5.0,12.0,1.0,low
stu_00137,class_038,40.64,70.13,69.13,76.92,54.19,44.06,91.7,5.0,1515.0,7.0,2.0,4.0,1.0,medium
stu_00138,class_002,35.69,55.65,31.81,16.98,33.38,7.62,71.13,3.0,1144.0,5.0,1.0,6.0,2.0,high
stu_00139,class_015,75.8,67.9,90.13,97.22,77.6,92.99,24.33,18.0,1513.0,7.0,3.0,17.0,0.0,low
stu_00140,class_009,67.41,72.42,35.64,41.87,50.35,9.92,59.1,0.0,1493.0,6.0,3.0,0.0,0.0,medium
stu_00141,class_025,93.1,82.23,90.44,85.73,82.1,74.99,35.36,5.0,1698.0,7.0,4.0,8.0,0.0,low
stu_00142,class_004,23.39,31.67,63.78,91.73,46.39,66.38,18.16,10.0,2116.0,9.0,4.0,12.0,0.0,low
stu_00143,class_027,87.36,78.95,76.75,77.01,83.55,82.35,25.14,13.0,1638.0,7.0,3.0,16.0,2.0,low
stu_00144,class_039,64.66,68.64,71.92,78.99,69.76,,69.05,7.0,1482.0,6.0,3.0,11.0,2.0,medium
stu_00145,class_012,7.52,35.39,95.52,78.72,40.05,25.98,109.18,2.0,806.0,4.0,1.0,2.0,1.0,high
stu_00146,class_013,58.78,26.05,61.75,71.18,48.46,61.04,104.17,8.0,638.0,3.0,1.0,9.0,2.0,medium
stu_00147,class_028,83.95,85.47,78.93,66.36,80.95,100.0,39.47,16.0,1950.0,8.0,4.0,18.0,1.0,low
stu_00148,class_020,54.55,42.8,24.14,23.8,44.0,68.34,57.47,6.0,995.0,4.0,2.0,7.0,2.0,medium
stu_00149,class_007,37.76,62.33,83.87,95.88,61.47,84.07,18.68,8.0,1528.0,7.0,4.0,8.0,4.0,medium
stu_00150,class_026,97.42,69.6,94.69,97.37,87.35,60.8,18.42,15.0,1776.0,8.0,4.0,26.0,1.0,low
stu_00151,class_037,98.32,79.95,83.81,89.5,82.66,38.36,21.31,0.0,1605.0,7.0,4.0,0.0,0.0,low
stu_00152,class_014,70.79,49.2,53.68,42.91,62.23,83.39,34.67,7.0,1128.0,5.0,2.0,13.0,2.0,medium
stu_00153,class_025,79.37,44.7,61.53,64.09,62.66,36.63,29.74,5.0,1160.0,5.0,2.0,6.0,3.0,medium
stu_00154,class_014,86.82,69.34,72.25,73.72,76.51,66.98,38.34,13.0,1582.0,7.0,3.0,15.0,0.0,low
stu_00155,class_029,76.36,69.66,80.59,73.77,74.46,100.0,15.92,8.0,1557.0,7.0,3.0,7.0,0.0,low
stu_00156,class_011,49.37,28.22,27.46,14.95,30.49,0.0,56.65,0.0,576.0,3.0,1.0,0.0,1.0,high
stu_00157,class_029,75.72,48.06,84.73,72.55,68.37,61.02,20.19,7.0,1121.0,5.0,2.0,0.0,3.0,medium
stu_00158,class_034,74.04,23.94,72.48,48.12,58.3,47.94,44.75,8.0,4273.0,17.0,9.0,14.0,2.0,medium
stu_00159,class_017,16.58,53.69,59.42,48.89,38.85,42.51,23.97,1.0,896.0,4.0,1.0,0.0,7.0,high
stu_00160,class_030,64.01,22.1,33.53,27.24,44.43,28.69,33.2,6.0,574.0,3.0,1.0,3.0,1.0,medium
stu_00161,class_028,38.45,1.59,51.3,59.12,28.68,38.06,55.38,1.0,179.0,1.0,1.0,4.0,3.0,high
stu_00162,class_015,49.57,50.33,43.53,39.92,50.06,61.83,31.63,5.0,921.0,4.0,1.0,5.0,2.0,medium
stu_00163,class_018,93.74,82.08,95.59,97.91,89.79,88.04,,6.0,1394.0,6.0,5.0,7.0,0.0,low
stu_00164,class_027,70.3,95.3,78.34,83.26,74.24,56.51,24.01,0.0,1867.0,8.0,2.0,0.0,0.0,low
stu_00165,class_009,47.02,17.25,81.06,81.88,44.77,40.86,50.86,5.0,561.0,3.0,0.0,5.0,0.0,high
stu_00166,class_002,81.78,83.73,89.94,100.0,87.31,75.07,29.29,8.0,1638.0,7.0,4.0,8.0,1.0,low
stu_00167,class_033,85.87,59.17,50.42,56.0,62.74,45.14,38.86,6.0,1325.0,6.0,3.0,5.0,2.0,medium
stu_00168,class_036,99.37,68.52,84.41,89.01,82.87,82.58,18.96,,1185.0,5.0,3.0,8.0,,low
stu_00169,class_008,75.34,67.89,32.46,37.31,53.21,17.02,21.94,6.0,1329.0,6.0,2.0,12.0,4.0,medium
stu_00170,class_013,85.48,68.79,,82.77,80.61,58.94,40.94,8.0,1557.0,7.0,3.0,7.0,4.0,medium
stu_00171,class_024,24.58,17.44,28.41,34.11,22.34,26.99,71.64,5.0,432.0,2.0,0.0,8.0,2.0,high
stu_00172,class_022,75.17,39.08,89.83,96.67,65.22,50.45,22.07,7.0,914.0,4.0,2.0,2.0,3.0,medium
stu_00173,class_005,65.98,32.12,29.41,25.35,42.2,29.77,27.18,1.0,380.0,2.0,0.0,1.0,3.0,high
stu_00174,class_016,25.76,43.12,6.26,7.03,24.26,29.13,89.21,0.0,0.0,4.0,1.0,0.0,1.0,high
stu_00175,class_019,89.95,92.96,80.15,68.98,86.02,66.62,28.41,16.0,2120.0,9.0,6.0,21.0,0.0,low
stu_00176,class_003,91.17,77.49,68.06,64.57,77.85,85.65,43.09,7.0,1583.0,7.0,4.0,12.0,0.0,low
stu_00177,class_021,33.16,37.45,76.65,74.83,48.53,84.04,41.33,3.0,889.0,4.0,1.0,5.0,0.0,medium
stu_00178,class_015,100.0,96.17,83.08,81.63,90.21,80.37,32.52,18.0,2183.0,9.0,5.0,28.0,1.0,low
stu_00179,class_039,49.58,21.1,24.58,25.98,28.57,15.11,38.51,2.0,571.0,3.0,0.0,2.0,5.0,high
stu_00180,class_021,50.38,75.39,100.0,95.3,69.05,60.81,25.15,7.0,1393.0,6.0,4.0,5.0,3.0,medium
stu_00181,class_012,94.61,77.42,89.79,84.77,87.52,85.56,25.01,11.0,1821.0,8.0,4.0,16.0,0.0,low
stu_00182,class_002,88.96,80.26,90.53,89.97,84.82,83.02,17.06,17.0,1821.0,8.0,4.0,14.0,1.0,low
stu_00183,class_034,93.53,73.19,78.78,94.62,84.0,81.26,21.14,6.0,1603.0,7.0,3.0,5.0,0.0,low
stu_00184,class_028,78.92,65.61,96.68,89.05,80.49,97.72,14.04,14.0,1488.0,6.0,3.0,11.0,0.0,low
stu_00185,class_012,89.18,80.81,81.28,74.08,87.42,100.0,18.26,12.0,1838.0,8.0,4.0,17.0,1.0,low
stu_00186,class_018,87.61,89.48,98.59,96.49,87.99,76.64,23.53,9.0,1887.0,8.0,4.0,15.0,1.0,low
stu_00187,class_027,51.71,44.9,43.55,40.86,50.42,60.35,57.84,7.0,787.0,4.0,1.0,5.0,0.0,medium
stu_00188,class_028,54.94,57.67,77.16,94.84,64.43,50.99,36.65,4.0,1366.0,6.0,2.0,1.0,0.0,medium
stu_00189,class_036,13.74,20.18,25.31,26.47,16.04,15.47,51.98,4.0,414.0,2.0,0.0,6.0,4.0,high
stu_00190,class_011,59.79,69.34,56.78,60.69,60.33,38.03,33.76,3.0,1403.0,6.0,2.0,2.0,1.0,medium
stu_00191,class_017,90.08,89.5,73.67,81.3,87.6,71.07,31.75,17.0,2019.0,9.0,4.0,33.0,0.0,low
stu_00192,class_014,41.63,15.82,11.45,10.18,28.67,35.2,81.57,3.0,424.0,2.0,0.0,3.0,3.0,high
stu_00193,class_038,82.04,61.6,,45.74,71.43,87.5,10.48,7.0,1249.0,5.0,2.0,2.0,0.0,low
stu_00194,class_020,66.2,61.53,39.83,37.54,59.26,42.19,58.41,5.0,1147.0,5.0,2.0,8.0,2.0,medium
stu_00195,class_032,49.21,82.19,49.23,47.9,57.52,41.24,58.99,5.0,1662.0,7.0,2.0,4.0,0.0,medium
stu_00196,class_010,17.12,43.53,26.55,14.34,31.06,39.03,40.93,4.0,931.0,4.0,1.0,1.0,4.0,high
stu_00197,class_015,84.84,91.51,86.23,,85.32,65.92,21.27,17.0,2324.0,,5.0,19.0,1.0,low
stu_00198,class_028,83.93,79.97,68.73,70.45,79.8,84.86,14.04,15.0,1893.0,8.0,4.0,29.0,0.0,low
stu_00199,class_040,31.47,25.53,35.96,38.6,31.58,64.35,165.01,0.0,469.0,2.0,1.0,0.0,3.0,high
stu_00200,class_015,35.99,51.01,89.95,85.93,59.1,30.73,41.23,2.0,1056.0,5.0,2.0,5.0,0.0,high
stu_00201,class_016,83.86,50.0,77.4,86.41,72.54,60.38,40.6,9.0,1345.0,6.0,3.0,7.0,2.0,medium
stu_00202,class_018,38.39,56.81,63.47,63.43,52.16,70.93,65.71,2.0,1068.0,5.0,1.0,3.0,2.0,medium
stu_00203,class_002,79.79,72.96,96.82,100.0,79.17,83.48,21.91,14.0,1776.0,8.0,3.0,11.0,0.0,low
stu_00204,class_013,47.66,32.32,80.47,86.33,57.65,52.42,32.72,10.0,1006.0,5.0,2.0,12.0,0.0,medium
stu_00205,class_010,84.72,83.32,88.23,77.88,84.55,75.89,18.99,10.0,1852.0,8.0,4.0,10.0,0.0,low
stu_00206,class_031,99.11,79.92,91.15,84.01,93.29,89.09,33.6,12.0,1693.0,7.0,5.0,19.0,1.0,low
stu_00207,class_002,84.38,96.12,85.48,95.84,88.3,,19.16,9.0,2078.0,9.0,6.0,14.0,0.0,low
stu_00208,class_003,33.79,13.64,55.26,47.23,35.89,41.62,32.78,2.0,161.0,1.0,1.0,2.0,3.0,high
stu_00209,class_014,75.26,64.24,55.31,53.93,67.52,76.96,41.55,,1156.0,5.0,2.0,0.0,1.0,medium
stu_00210,class_020,53.19,69.82,89.56,98.16,65.13,55.54,28.59,3.0,1295.0,6.0,2.0,0.0,2.0,medium
stu_00211,class_002,45.97,72.31,83.24,87.77,68.13,46.56,40.8,9.0,1389.0,6.0,3.0,7.0,0.0,medium
stu_00212,class_032,48.4,68.71,57.75,47.27,59.53,77.91,73.02,4.0,3569.0,14.0,11.0,25.0,5.0,medium
stu_00213,class_024,88.92,63.33,77.49,64.82,74.57,57.71,15.39,16.0,1562.0,7.0,3.0,21.0,0.0,low
